2019-12-06 at 08:46:44 CST INFO  org.springframework.web.context.ContextLoader.initWebApplicationContext @270 :-> Root WebApplicationContext: initialization started
2019-12-06 at 08:46:47 CST INFO  org.springframework.web.context.ContextLoader.initWebApplicationContext @306 :-> Root WebApplicationContext initialized in 2853 ms
2019-12-06 at 08:46:47 CST INFO  org.springframework.web.servlet.FrameworkServlet.initServletBean @524 :-> Initializing Servlet 'dispatcherServlet'
2019-12-06 at 08:46:48 CST INFO  org.springframework.web.servlet.FrameworkServlet.initServletBean @546 :-> Completed initialization in 706 ms
2019-12-06 at 08:47:20 CST INFO  com.baiuait.search.controller.UserController.getUserByCookie @110 :-> getUserByCookie
2019-12-06 at 08:47:21 CST INFO  com.alibaba.druid.support.logging.Log4j2Impl.info @106 :-> {dataSource-1} inited
2019-12-06 at 08:47:21 CST INFO  com.baiuait.search.controller.UrlsController.getUrlsByUserId @26 :-> getUrlsByUserId:2
2019-12-06 at 08:47:21 CST INFO  com.baiuait.search.controller.MemoController.getMemosByUserId @31 :-> getMemosByUserId:2
2019-12-06 at 08:48:42 CST INFO  com.baiuait.search.controller.UrlsController.getUrlsByUserId @26 :-> getUrlsByUserId:2
2019-12-06 at 08:48:42 CST INFO  com.baiuait.search.controller.MemoController.getMemosByUserId @31 :-> getMemosByUserId:2
2019-12-06 at 08:49:21 CST INFO  com.baiuait.search.controller.UrlsController.getUrlsByUserId @26 :-> getUrlsByUserId:2
2019-12-06 at 08:49:21 CST INFO  com.baiuait.search.controller.MemoController.getMemosByUserId @31 :-> getMemosByUserId:2
2019-12-06 at 08:50:16 CST INFO  com.baiuait.search.controller.MemoController.modifyMemoIsTop @85 :-> modifyMemoIsTop:31
2019-12-06 at 08:51:18 CST INFO  com.baiuait.search.controller.UserController.getUserByCookie @110 :-> getUserByCookie
2019-12-06 at 08:51:29 CST INFO  com.baiuait.search.controller.UrlsController.getUrlsByUserId @26 :-> getUrlsByUserId:2
2019-12-06 at 08:51:29 CST INFO  com.baiuait.search.controller.MemoController.getMemosByUserId @31 :-> getMemosByUserId:2
2019-12-06 at 08:52:13 CST INFO  com.baiuait.search.controller.UrlsController.getUrlsByUserId @26 :-> getUrlsByUserId:2
2019-12-06 at 08:52:13 CST INFO  com.baiuait.search.controller.MemoController.getMemosByUserId @31 :-> getMemosByUserId:2
